Nazov obce;Nazov okresu;Nazov kraja,
Slovenska Nova Ves;Okres Trnava;Trnavsky,
Slovenska Ves;Okres Kezmarok;Presovsky,
Slovenska Volova;Okres Humenne;Presovsky,
Slovenske Darmoty;Okres Velky Krtis;Banskobystricky,
Slovenske Klacany;Okres Velky Krtis;Banskobystricky,
Slovenske Krive;Okres Humenne;Presovsky,
Slovenske Nove Mesto;Okres Trebisov;Kosicky,
Slovenske Pravno;Okres Turcianske Teplice;Zilinsky,
Slovensky Grob;Okres Pezinok;Bratislavsky,
Slovinky;Okres Spisska Nova Ves;Kosicky,
Smilno;Okres Bardejov;Presovsky,
Smizany;Okres Spisska Nova Ves;Kosicky,
Smolenice;Okres Trnava;Trnavsky,
Smolinske;Okres Senica;Trnavsky,
Smolnicka Huta;Okres Gelnica;Kosicky,
Smolnik;Okres Gelnica;Kosicky,
Smrdaky;Okres Senica;Trnavsky,
Smrecany;Okres Liptovsky Mikulas;Zilinsky,
Snakov;Okres Bardejov;Presovsky,
Sneznica;Okres Kysucke Nove Mesto;Zilinsky,
Snina;Okres Snina;Presovsky,
Soblahov;Okres Trencin;Trenciansky,
Sobos;Okres Svidnik;Presovsky,
Sobotiste;Okres Senica;Trnavsky,
Sobrance;Okres Sobrance;Kosicky,
Socovce;Okres Martin;Zilinsky,
Sokol;Okres Kosice - okolie;Kosicky,
Sokolany;Okres Kosice - okolie;Kosicky,
Sokolce;Okres Komarno;Nitriansky,
Sokolovce;Okres Piestany;Trnavsky,
Sol;Okres Vranov nad Toplou;Presovsky,
Solcany;Okres Topolcany;Nitriansky,
Solcianky;Okres Topolcany;Nitriansky,
Solnicka;Okres Trebisov;Kosicky,
Solnik;Okres Stropkov;Presovsky,
Solosnica;Okres Malacky;Bratislavsky,
Somotor;Okres Trebisov;Kosicky,
Sopkovce;Okres Humenne;Presovsky,
Spisska Bela;Okres Kezmarok;Presovsky,
Spisska Nova Ves;Okres Spisska Nova Ves;Kosicky,
Spisska Stara Ves;Okres Kezmarok;Presovsky,
Spisska Teplica;Okres Poprad;Presovsky,
Spisske Bystre;Okres Poprad;Presovsky,
Spisske Hanusovce;Okres Kezmarok;Presovsky,
Spisske Podhradie;Okres Levoca;Presovsky,
Spisske Tomasovce;Okres Spisska Nova Ves;Kosicky,
Spisske Vlachy;Okres Spisska Nova Ves;Kosicky,
Spissky Hrhov;Okres Levoca;Presovsky,
Spissky Hrusov;Okres Spisska Nova Ves;Kosicky,
Spissky Stiavnik;Okres Poprad;Presovsky,
Spissky Stvrtok;Okres Levoca;Presovsky,
Stakcin;Okres Snina;Presovsky,
Stakcinska Roztoka;Okres Snina;Presovsky,
Stanca;Okres Trebisov;Kosicky,
Stankovany;Okres Ruzomberok;Zilinsky,
Stankovce;Okres Trebisov;Kosicky,
Stara Basta;Okres Rimavska Sobota;Banskobystricky,
Stara Bystrica;Okres Cadca;Zilinsky,
Stara Halic;Okres Lucenec;Banskobystricky,
Stara Huta;Okres Detva;Banskobystricky,
Stara Kremnicka;Okres Ziar nad Hronom;Banskobystricky,
Stara Lehota;Okres Nove Mesto nad Vahom;Trenciansky,
Stara Lesna;Okres Kezmarok;Presovsky,
Stara Lubovna;Okres Stara Lubovna;Presovsky,
Stara Myjava;Okres Myjava;Trenciansky,
Stara Tura;Okres Nove Mesto nad Vahom;Trenciansky,
Stara Voda;Okres Gelnica;Kosicky,
Stare;Okres Michalovce;Kosicky,
Stare Hory;Okres Banska Bystrica;Banskobystricky,
Starina;Okres Stara Lubovna;Presovsky,
Stary Hradok;Okres Levice;Nitriansky,
Stary Tekov;Okres Levice;Nitriansky,
Staskov;Okres Cadca;Zilinsky,
Staskovce;Okres Stropkov;Presovsky,
Stebnicka Huta;Okres Bardejov;Presovsky,
Stebnik;Okres Bardejov;Presovsky,
Stozok;Okres Detva;Banskobystricky,
Stranany;Okres Stara Lubovna;Presovsky,
Stranavy;Okres Zilina;Zilinsky,
Strane pod Tatrami;Okres Kezmarok;Presovsky,
Stranska;Okres Rimavska Sobota;Banskobystricky,
Stranske;Okres Zilina;Zilinsky,
Stratena;Okres Roznava;Kosicky,
Straza;Okres Zilina;Zilinsky,
Strazne;Okres Trebisov;Kosicky,
Strazske;Okres Michalovce;Kosicky,
Strecno;Okres Zilina;Zilinsky,
Streda nad Bodrogom;Okres Trebisov;Kosicky,
Stredne Plachtince;Okres Velky Krtis;Banskobystricky,
Strekov;Okres Nove Zamky;Nitriansky,
Strelniky;Okres Banska Bystrica;Banskobystricky,
Stretava;Okres Michalovce;Kosicky,
Stretavka;Okres Michalovce;Kosicky,
Strezenice;Okres Puchov;Trenciansky,
Strihovce;Okres Snina;Presovsky,
Strocin;Okres Svidnik;Presovsky,
Stropkov;Okres Stropkov;Presovsky,
Studena;Okres Rimavska Sobota;Banskobystricky,
Studenec;Okres Levoca;Presovsky,
Studienka;Okres Malacky;Bratislavsky,
Stulany;Okres Bardejov;Presovsky,
Stupava;Okres Malacky;Bratislavsky,
Stupne;Okres Povazska Bystrica;Trenciansky,
Sucany;Okres Martin;Zilinsky,
Sudince;Okres Krupina;Banskobystricky,
Sudovce;Okres Krupina;Banskobystricky,
Sucha Dolina;Okres Presov;Presovsky,
Sucha Hora;Okres Tvrdosin;Zilinsky,
Sucha nad Parnou;Okres Trnava;Trnavsky,
Suchan;Okres Velky Krtis;Banskobystricky,
Suche;Okres Michalovce;Kosicky,
Suche Brezovo;Okres Velky Krtis;Banskobystricky,
Suchohrad;Okres Malacky;Bratislavsky,
Sukov;Okres Medzilaborce;Presovsky,
Sulin;Okres Stara Lubovna;Presovsky,
Sulovce;Okres Topolcany;Nitriansky,
Sulov-Hradna;Okres Bytca;Zilinsky,
Susany;Okres Poltar;Banskobystricky,
Sutor;Okres Rimavska Sobota;Banskobystricky,
Svata Maria;Okres Trebisov;Kosicky,
Svatoplukovo;Okres Nitra;Nitriansky,
Svatus;Okres Sobrance;Kosicky,
Svatuse;Okres Trebisov;Kosicky,
Svaty Anton;Okres Banska Stiavnica;Banskobystricky,
Svaty Jur;Okres Pezinok;Bratislavsky,
Svaty Kriz;Okres Liptovsky Mikulas;Zilinsky,
Svaty Peter;Okres Komarno;Nitriansky,
Svedernik;Okres Zilina;Zilinsky,
Sverepec;Okres Povazska Bystrica;Trenciansky,
Sverzov;Okres Bardejov;Presovsky,
Svetlice;Okres Medzilaborce;Presovsky,
Svidnicka;Okres Svidnik;Presovsky,
Svidnik;Okres Svidnik;Presovsky,
Svinia;Okres Presov;Presovsky,
Svinica;Okres Kosice - okolie;Kosicky,
Svinice;Okres Trebisov;Kosicky,
Svinna;Okres Trencin;Trenciansky,
Svit;Okres Poprad;Presovsky,
Svodin;Okres Nove Zamky;Nitriansky,
Svrbice;Okres Topolcany;Nitriansky,
Svrcinovec;Okres Cadca;Zilinsky,
Sahy;Okres Levice;Nitriansky,
Sajdikove Humence;Okres Senica;Trnavsky,
Sala;Okres Sala;Nitriansky,
Salgocka;Okres Galanta;Trnavsky,
Salgovce;Okres Topolcany;Nitriansky,
Salov;Okres Levice;Nitriansky,
Sambron;Okres Stara Lubovna;Presovsky,
Samorin;Okres Dunajska Streda;Trnavsky,
Samudovce;Okres Michalovce;Kosicky,
Sandal;Okres Stropkov;Presovsky,
Sarbov;Okres Svidnik;Presovsky,
Sarisska Poruba;Okres Presov;Presovsky,
Sarisska Trstena;Okres Presov;Presovsky,
Sarisske Bohdanovce;Okres Presov;Presovsky,
Sarisske Cierne;Okres Bardejov;Presovsky,
Sarisske Dravce;Okres Sabinov;Presovsky,
Sarisske Jastrabie;Okres Stara Lubovna;Presovsky,
Sarisske Michalany;Okres Sabinov;Presovsky,
Sarisske Sokolovce;Okres Sabinov;Presovsky,
Sarissky Stiavnik;Okres Svidnik;Presovsky,
Sarkan;Okres Nove Zamky;Nitriansky,
Sarovce;Okres Levice;Nitriansky,
Sasova;Okres Bardejov;Presovsky,
Sastin-Straze;Okres Senica;Trnavsky,
Savol;Okres Lucenec;Banskobystricky,
Selpice;Okres Trnava;Trnavsky,
Semetkovce;Okres Svidnik;Presovsky,
Semsa;Okres Kosice - okolie;Kosicky,
Senkvice;Okres Pezinok;Bratislavsky,
Siatorska Bukovinka;Okres Lucenec;Banskobystricky,
Siba;Okres Bardejov;Presovsky,
Sid;Okres Lucenec;Banskobystricky,
Simonovce;Okres Rimavska Sobota;Banskobystricky,
Sindliar;Okres Presov;Presovsky,
Sintava;Okres Galanta;Trnavsky,
Sipkov;Okres Banovce nad Bebravou;Trenciansky,
Sipkove;Okres Piestany;Trnavsky,
Sirakov;Okres Velky Krtis;Banskobystricky,
Sirkovce;Okres Rimavska Sobota;Banskobystricky,
Siroke;Okres Presov;Presovsky,
Sisov;Okres Banovce nad Bebravou;Trenciansky,
Sivetice;Okres Revuca;Banskobystricky,
Smigovec;Okres Snina;Presovsky,
Soltyska;Okres Poltar;Banskobystricky,
Soporna;Okres Galanta;Trnavsky,
Spacince;Okres Trnava;Trnavsky,
Spania Dolina;Okres Banska Bystrica;Banskobystricky,
Spanie Pole;Okres Rimavska Sobota;Banskobystricky,
Srobarova;Okres Komarno;Nitriansky,
Stefanov;Okres Senica;Trnavsky,
Stefanov nad Oravou;Okres Tvrdosin;Zilinsky,
Stefanova;Okres Pezinok;Bratislavsky,
Stefanovce, okres Presov;Okres Presov;Presovsky
Stefanovce, okres Vranov nad Toplou;Okres Vranov nad Toplou;Presovsky
Stefanovicova;Okres Nitra;Nitriansky,
Stefurov;Okres Svidnik;Presovsky,
Sterusy;Okres Piestany;Trnavsky,
Stiavnicke Bane;Okres Banska Stiavnica;Banskobystricky,
Stiavnicka;Okres Ruzomberok;Zilinsky,
Stiavnik;Okres Bytca;Zilinsky,
Stitare;Okres Nitra;Nitriansky,
Stitnik;Okres Roznava;Kosicky,
Stos;Okres Kosice - okolie;Kosicky,
Stola;Okres Poprad;Presovsky,
Strba;Okres Poprad;Presovsky,
Strkovec;Okres Rimavska Sobota;Banskobystricky,
Sturovo;Okres Nove Zamky;Nitriansky,
Stvrtok;Okres Trencin;Trenciansky,
Stvrtok na Ostrove;Okres Dunajska Streda;Trnavsky,
Suja;Okres Zilina;Zilinsky,
Sula;Okres Velky Krtis;Banskobystricky,
Sumiac;Okres Brezno;Banskobystricky,
Sunava;Okres Poprad;Presovsky,
Surany;Okres Nove Zamky;Nitriansky,
Surianky;Okres Nitra;Nitriansky,
Surice;Okres Lucenec;Banskobystricky,
Surovce;Okres Trnava;Trnavsky,
Sutovce;Okres Prievidza;Trenciansky,
Sutovo;Okres Martin;Zilinsky,
Svabovce;Okres Poprad;Presovsky,
Svedlar;Okres Gelnica;Kosicky,
Svosov;Okres Ruzomberok;Zilinsky,
Tachty;Okres Rimavska Sobota;Banskobystricky,
Tajna;Okres Nitra;Nitriansky,
Tajov;Okres Banska Bystrica;Banskobystricky,
Tapesovo;Okres Namestovo;Zilinsky,
Tarnov;Okres Bardejov;Presovsky,
Tasula;Okres Sobrance;Kosicky,
Tatranska Javorina;Okres Poprad;Presovsky,
Tehla;Okres Levice;Nitriansky,
Tekoldany;Okres Hlohovec;Trnavsky,
Tekovska Breznica;Okres Zarnovica;Banskobystricky,
Tekovske Luzany;Okres Levice;Nitriansky,
Tekovske Nemce;Okres Zlate Moravce;Nitriansky,
Tekovsky Hradok;Okres Levice;Nitriansky,
Telgart;Okres Brezno;Banskobystricky,
Telince;Okres Nitra;Nitriansky,
Temes;Okres Prievidza;Trenciansky,
Teplicka;Okres Spisska Nova Ves;Kosicky,
Teplicka nad Vahom;Okres Zilina;Zilinsky,
Teplicky;Okres Hlohovec;Trnavsky,
Teply Vrch;Okres Rimavska Sobota;Banskobystricky,
Terany;Okres Krupina;Banskobystricky,
Terchova;Okres Zilina;Zilinsky,
Teriakovce;Okres Presov;Presovsky,
Terna;Okres Presov;Presovsky,
Tesare;Okres Topolcany;Nitriansky,
Tesarske Mlynany;Okres Zlate Moravce;Nitriansky,
Tesedikovo;Okres Sala;Nitriansky,
Tibava;Okres Sobrance;Kosicky,
Tichy Potok;Okres Sabinov;Presovsky,
Timoradza;Okres Banovce nad Bebravou;Trenciansky,
Tisinec;Okres Stropkov;Presovsky,
Tisovec;Okres Rimavska Sobota;Banskobystricky,
Tlmace;Okres Levice;Nitriansky,
Tocnica;Okres Lucenec;Banskobystricky,
Tokajik;Okres Stropkov;Presovsky,
Tomasikovo;Okres Galanta;Trnavsky,
Tomasov;Okres Senec;Bratislavsky,
Tomasovce, okres Lucenec;Okres Lucenec;Banskobystricky
Tomasovce, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky
Topola;Okres Snina;Presovsky,
Topolcany;Okres Topolcany;Nitriansky,
Topolcianky;Okres Zlate Moravce;Nitriansky,
Topolnica;Okres Galanta;Trnavsky,
Topolniky;Okres Dunajska Streda;Trnavsky,
Topolovka;Okres Humenne;Presovsky,
Toporec;Okres Kezmarok;Presovsky,
Tornala;Okres Revuca;Banskobystricky,
Torysa;Okres Sabinov;Presovsky,
Torysky;Okres Levoca;Presovsky,
Tovarne;Okres Vranov nad Toplou;Presovsky,
Tovarnianska Polianka;Okres Vranov nad Toplou;Presovsky,
Tovarniky;Okres Topolcany;Nitriansky,
Ton;Okres Komarno;Nitriansky,
Trakovice;Okres Hlohovec;Trnavsky,
Travnica;Okres Nove Zamky;Nitriansky,
Travnik;Okres Komarno;Nitriansky,
Trebatice;Okres Piestany;Trnavsky,
Trebejov;Okres Kosice - okolie;Kosicky,
Trebelovce;Okres Lucenec;Banskobystricky,
Trebichava;Okres Banovce nad Bebravou;Trenciansky,
Trebisov;Okres Trebisov;Kosicky,
Trebostovo;Okres Martin;Zilinsky,
Trebusovce;Okres Velky Krtis;Banskobystricky,
Trenc;Okres Lucenec;Banskobystricky,
Trencianska Tepla;Okres Trencin;Trenciansky,
Trencianska Turna;Okres Trencin;Trenciansky,
Trencianske Bohuslavice;Okres Nove Mesto nad Vahom;Trenciansky,
Trencianske Jastrabie;Okres Trencin;Trenciansky,
Trencianske Mitice;Okres Trencin;Trenciansky,
Trencianske Stankovce;Okres Trencin;Trenciansky,
Trencianske Teplice;Okres Trencin;Trenciansky,
Trencin;Okres Trencin;Trenciansky,
Trhova Hradska;Okres Dunajska Streda;Trnavsky,
Trhoviste;Okres Michalovce;Kosicky,
Trnava;Okres Trnava;Trnavsky,
Trnava Hora;Okres Ziar nad Hronom;Banskobystricky,
Trnava pri Laborci;Okres Michalovce;Kosicky,
Trnavka, okres Dunajska Streda;Okres Dunajska Streda;Trnavsky
Trnavka, okres Trebisov;Okres Trebisov;Kosicky
Trnie;Okres Zvolen;Banskobystricky,
Trnkov;Okres Presov;Presovsky,
Trnovec;Okres Skalica;Trnavsky,
Trnovec nad Vahom;Okres Sala;Nitriansky,
Trnovo;Okres Martin;Zilinsky,
Trocany;Okres Bardejov;Presovsky,
Trpin;Okres Krupina;Banskobystricky,
Trstany;Okres Kosice - okolie;Kosicky,
Trstena;Okres Tvrdosin;Zilinsky,
Trstena na Ostrove;Okres Dunajska Streda;Trnavsky,
Trstene;Okres Liptovsky Mikulas;Zilinsky,
Trstene pri Hornade;Okres Kosice - okolie;Kosicky,
Trstice;Okres Galanta;Trnavsky,
Trstin;Okres Trnava;Trnavsky,
Tuhar;Okres Lucenec;Banskobystricky,
Tuhrina;Okres Presov;Presovsky,
Tuchyna;Okres Ilava;Trenciansky,
Tulcik;Okres Presov;Presovsky,
Tupa;Okres Levice;Nitriansky,
Tura;Okres Levice;Nitriansky,
Turany;Okres Martin;Zilinsky,
Turany nad Ondavou;Okres Stropkov;Presovsky,
Turcovce;Okres Humenne;Presovsky,
Turcek;Okres Turcianske Teplice;Zilinsky,
Turcianky;Okres Partizanske;Trenciansky,
Turcianska Stiavnicka;Okres Martin;Zilinsky,
Turcianske Jaseno;Okres Martin;Zilinsky,
Turcianske Klacany;Okres Martin;Zilinsky,
Turcianske Teplice;Okres Turcianske Teplice;Zilinsky,
Turciansky Dur;Okres Martin;Zilinsky,
Turciansky Peter;Okres Martin;Zilinsky,
Turcok;Okres Revuca;Banskobystricky,
Turecka;Okres Banska Bystrica;Banskobystricky,
Turen;Okres Senec;Bratislavsky,
Turie;Okres Zilina;Zilinsky,
Turik;Okres Ruzomberok;Zilinsky,
Turna nad Bodvou;Okres Kosice - okolie;Kosicky,
Turnianska Nova Ves;Okres Kosice - okolie;Kosicky,
Turova;Okres Zvolen;Banskobystricky,
Turzovka;Okres Cadca;Zilinsky,
Tusice;Okres Michalovce;Kosicky,
Tusicka Nova Ves;Okres Michalovce;Kosicky,
Tuzina;Okres Prievidza;Trenciansky,
Tvarozna;Okres Kezmarok;Presovsky,
Tvrdomestice;Okres Topolcany;Nitriansky,
Tvrdosin;Okres Tvrdosin;Zilinsky,
Tvrdosovce;Okres Nove Zamky;Nitriansky,
Ubla;Okres Snina;Presovsky,
Ubrez;Okres Sobrance;Kosicky,
Udavske;Okres Humenne;Presovsky,
Udica;Okres Povazska Bystrica;Trenciansky,
Udol;Okres Stara Lubovna;Presovsky,
Uhliska;Okres Levice;Nitriansky,
Uhorna;Okres Gelnica;Kosicky,
Uhorska Ves;Okres Liptovsky Mikulas;Zilinsky,
Uhorske;Okres Poltar;Banskobystricky,
Uhrovec;Okres Banovce nad Bebravou;Trenciansky,
Uhrovske Podhradie;Okres Banovce nad Bebravou;Trenciansky,
Ulany nad Zitavou;Okres Nove Zamky;Nitriansky,
Ulic;Okres Snina;Presovsky,
Ulicske Krive;Okres Snina;Presovsky,
Uloza;Okres Levoca;Presovsky,
Unatin;Okres Krupina;Banskobystricky,
Unin;Okres Skalica;Trnavsky,
Urmince;Okres Topolcany;Nitriansky,
Utekac;Okres Poltar;Banskobystricky,
Uzovce;Okres Sabinov;Presovsky,
Uzovska Panica;Okres Rimavska Sobota;Banskobystricky,
Uzovske Peklany;Okres Sabinov;Presovsky,
Uzovsky Salgov;Okres Sabinov;Presovsky,
Vadovce;Okres Nove Mesto nad Vahom;Trenciansky,
Vagrinec;Okres Svidnik;Presovsky,
Vahovce;Okres Galanta;Trnavsky,
Vajkovce;Okres Kosice - okolie;Kosicky,
Valaliky;Okres Kosice - okolie;Kosicky,
Valaska;Okres Brezno;Banskobystricky,
Valaska Bela;Okres Prievidza;Trenciansky,
Valaska Dubova;Okres Ruzomberok;Zilinsky,
Valca;Okres Martin;Zilinsky,
Valentovce;Okres Medzilaborce;Presovsky,
Valice;Okres Rimavska Sobota;Banskobystricky,
Valkovce;Okres Svidnik;Presovsky,
Valkovna;Okres Brezno;Banskobystricky,
Vaniskovce;Okres Bardejov;Presovsky,
Vapenik;Okres Svidnik;Presovsky,
Varadka;Okres Bardejov;Presovsky,
Varechovce;Okres Stropkov;Presovsky,
Varhanovce;Okres Presov;Presovsky,
Varin;Okres Zilina;Zilinsky,
Vasilov;Okres Namestovo;Zilinsky,
Vavrecka;Okres Namestovo;Zilinsky,
Vavrinec;Okres Vranov nad Toplou;Presovsky,
Vavrisovo;Okres Liptovsky Mikulas;Zilinsky,
Vazec;Okres Liptovsky Mikulas;Zilinsky,
Vcelince;Okres Rimavska Sobota;Banskobystricky,
Vecelkov;Okres Rimavska Sobota;Banskobystricky,
Vechec;Okres Vranov nad Toplou;Presovsky,
Velaty;Okres Trebisov;Kosicky,
Velcice;Okres Zlate Moravce;Nitriansky,
Velicna;Okres Dolny Kubin;Zilinsky,
Velka Calomija;Okres Velky Krtis;Banskobystricky,
Velka Causa;Okres Prievidza;Trenciansky,
Velka Cierna;Okres Zilina;Zilinsky,
Velka Dolina;Okres Nitra;Nitriansky,
Velka Frankova;Okres Kezmarok;Presovsky,
Velka Hradna;Okres Trencin;Trenciansky,
Velka Ida;Okres Kosice - okolie;Kosicky,
Velka Lehota;Okres Zarnovica;Banskobystricky,
Velka Lesna;Okres Stara Lubovna;Presovsky,
Velka Lodina;Okres Kosice - okolie;Kosicky,
Velka Lomnica;Okres Kezmarok;Presovsky,
Velka Luka;Okres Zvolen;Banskobystricky,
Velka Maca;Okres Galanta;Trnavsky,
Velka nad Iplom;Okres Lucenec;Banskobystricky,
Velka Paka;Okres Dunajska Streda;Trnavsky,
Velka Trna;Okres Trebisov;Kosicky,
Velka Ves;Okres Poltar;Banskobystricky,
Velka Ves nad Iplom;Okres Velky Krtis;Banskobystricky,
Velke Bierovce;Okres Trencin;Trenciansky,
Velke Blahovo;Okres Dunajska Streda;Trnavsky,
Velke Borove;Okres Liptovsky Mikulas;Zilinsky,
Velke Dravce;Okres Lucenec;Banskobystricky,
Velke Drzkovce;Okres Banovce nad Bebravou;Trenciansky,
Velke Dvorany;Okres Topolcany;Nitriansky,
Velke Dvorniky;Okres Dunajska Streda;Trnavsky,
Velke Hoste;Okres Banovce nad Bebravou;Trenciansky,
Velke Chlievany;Okres Banovce nad Bebravou;Trenciansky,
Velke Chyndice;Okres Nitra;Nitriansky,
Velke Kapusany;Okres Michalovce;Kosicky,
Velke Kosihy;Okres Komarno;Nitriansky,
Velke Kostolany;Okres Piestany;Trnavsky,
Velke Kozmalovce;Okres Levice;Nitriansky,
Velke Krstenany;Okres Partizanske;Trenciansky,
Velke Levare;Okres Malacky;Bratislavsky,
Velke Lovce;Okres Nove Zamky;Nitriansky,
Velke Ludince;Okres Levice;Nitriansky,
Velke Orviste;Okres Piestany;Trnavsky,
Velke Ozorovce;Okres Trebisov;Kosicky,
Velke Pole;Okres Zarnovica;Banskobystricky,
Velke Raskovce;Okres Michalovce;Kosicky,
Velke Revistia;Okres Sobrance;Kosicky,
Velke Ripnany;Okres Topolcany;Nitriansky,
Velke Rovne;Okres Bytca;Zilinsky,
Velke Slemence;Okres Michalovce;Kosicky,
Velke Straciny;Okres Velky Krtis;Banskobystricky,
Velke Teriakovce;Okres Rimavska Sobota;Banskobystricky,
Velke Trakany;Okres Trebisov;Kosicky,
Velke Turovce;Okres Levice;Nitriansky,
Velke Uherce;Okres Partizanske;Trenciansky,
Velke Ulany;Okres Galanta;Trnavsky,
Velke Vozokany;Okres Zlate Moravce;Nitriansky,
Velke Zaluzie;Okres Nitra;Nitriansky,
Velke Zlievce;Okres Velky Krtis;Banskobystricky,
Velkrop;Okres Stropkov;Presovsky,
Velky Biel;Okres Senec;Bratislavsky,
Velky Blh;Okres Rimavska Sobota;Banskobystricky,
Velky Cetin;Okres Nitra;Nitriansky,
Velky Cepcin;Okres Turcianske Teplice;Zilinsky,
Velky Dur;Okres Levice;Nitriansky,
Velky Folkmar;Okres Gelnica;Kosicky,
Velky Grob;Okres Galanta;Trnavsky,
Velky Hores;Okres Trebisov;Kosicky,
Velky Kamenec;Okres Trebisov;Kosicky,
Velky Kliz;Okres Partizanske;Trenciansky,
Velky Krtis;Okres Velky Krtis;Banskobystricky,
Velky Kyr;Okres Nove Zamky;Nitriansky,
Velky Lapas;Okres Nitra;Nitriansky,
Velky Lipnik;Okres Stara Lubovna;Presovsky,
Velky Lom;Okres Velky Krtis;Banskobystricky,
Velky Meder;Okres Dunajska Streda;Trnavsky,
Velky Slavkov;Okres Poprad;Presovsky,
Velky Slivnik;Okres Presov;Presovsky,
Velky Saris;Okres Presov;Presovsky,
Velopolie;Okres Humenne;Presovsky,
Velusovce;Okres Topolcany;Nitriansky,
Vernar;Okres Poprad;Presovsky,
Vesele;Okres Piestany;Trnavsky,
Veterna Poruba;Okres Liptovsky Mikulas;Zilinsky,
Vidina;Okres Lucenec;Banskobystricky,
Vieska nad Blhom;Okres Rimavska Sobota;Banskobystricky,
Vieska nad Zitavou;Okres Zlate Moravce;Nitriansky,
Vieska, okres Dunajska Streda;Okres Dunajska Streda;Trnavsky
Vieska, okres Velky Krtis;Okres Velky Krtis;Banskobystricky
Viglas;Okres Detva;Banskobystricky,
Viglasska Huta-Kalinka;Okres Detva;Banskobystricky,
Vikartovce;Okres Poprad;Presovsky,
Vinica;Okres Velky Krtis;Banskobystricky,
Vinicky;Okres Trebisov;Kosicky,
Vinicne;Okres Pezinok;Bratislavsky,
Vinne;Okres Michalovce;Kosicky,
Vinodol;Okres Nitra;Nitriansky,
Vinohrady nad Vahom;Okres Galanta;Trnavsky,
Vinosady;Okres Pezinok;Bratislavsky,
Virt;Okres Komarno;Nitriansky,
Vislanka;Okres Stara Lubovna;Presovsky,
Vislava;Okres Stropkov;Presovsky,
Visolaje;Okres Puchov;Trenciansky,
Visnov;Okres Trebisov;Kosicky,
Visnove, okres Nove Mesto nad Vahom;Okres Nove Mesto nad Vahom;Trenciansky
Visnove, okres Revuca;Okres Revuca;Banskobystricky
Visnove, okres Zilina;Okres Zilina;Zilinsky
Vistuk;Okres Pezinok;Bratislavsky,
Vitanova;Okres Tvrdosin;Zilinsky,
Vitaz;Okres Presov;Presovsky,
Vitazovce;Okres Humenne;Presovsky,
Vitkovce;Okres Spisska Nova Ves;Kosicky,
Vlaca;Okres Vranov nad Toplou;Presovsky,
Vladica;Okres Stropkov;Presovsky,
Vlachovo;Okres Roznava;Kosicky,
Vlachy;Okres Liptovsky Mikulas;Zilinsky,
Vlcany;Okres Sala;Nitriansky,
Vlckovce;Okres Trnava;Trnavsky,
Vlkanova;Okres Banska Bystrica;Banskobystricky,
Vlkas;Okres Nove Zamky;Nitriansky,
Vlkova;Okres Kezmarok;Presovsky,
Vlkovce;Okres Kezmarok;Presovsky,
Vlky;Okres Senec;Bratislavsky,
Vlkyna;Okres Rimavska Sobota;Banskobystricky,
Voderady;Okres Trnava;Trnavsky,
Vojany;Okres Michalovce;Kosicky,
Vojcice;Okres Trebisov;Kosicky,
Vojka;Okres Trebisov;Kosicky,
Vojka nad Dunajom;Okres Dunajska Streda;Trnavsky,
Vojkovce;Okres Spisska Nova Ves;Kosicky,
Vojnany;Okres Kezmarok;Presovsky,
Vojnatina;Okres Sobrance;Kosicky,
Vojtovce;Okres Stropkov;Presovsky,
Vola;Okres Michalovce;Kosicky,
Volica;Okres Medzilaborce;Presovsky,
Volkovce;Okres Zlate Moravce;Nitriansky,
Voznica;Okres Zarnovica;Banskobystricky,
Vozokany, okres Galanta;Okres Galanta;Trnavsky
Vozokany, okres Topolcany;Okres Topolcany;Nitriansky
Vrable;Okres Nitra;Nitriansky,
Vradiste;Okres Skalica;Trnavsky,
Vrakun;Okres Dunajska Streda;Trnavsky,
Vranov nad Toplou;Okres Vranov nad Toplou;Presovsky,
Vrbnica;Okres Michalovce;Kosicky,
Vrbov;Okres Kezmarok;Presovsky,
Vrbova nad Vahom;Okres Komarno;Nitriansky,
Vrbovce;Okres Myjava;Trenciansky,
Vrbove;Okres Piestany;Trnavsky,
Vrbovka;Okres Velky Krtis;Banskobystricky,
Vrchtepla;Okres Povazska Bystrica;Trenciansky,
Vricko;Okres Martin;Zilinsky,
Vrsatske Podhradie;Okres Ilava;Trenciansky,
Vrutky;Okres Martin;Zilinsky,
Vtackovce;Okres Kosice - okolie;Kosicky,
Vyborna;Okres Kezmarok;Presovsky,
Vycapy-Opatovce;Okres Nitra;Nitriansky,
Vydrany;Okres Dunajska Streda;Trnavsky,
Vydrna;Okres Puchov;Trenciansky,
Vydrnik;Okres Poprad;Presovsky,
Vyhne;Okres Ziar nad Hronom;Banskobystricky,
Vychodna;Okres Liptovsky Mikulas;Zilinsky,
Vyrava;Okres Medzilaborce;Presovsky,
Vysocany;Okres Banovce nad Bebravou;Trenciansky,
Vysoka nad Kysucou;Okres Cadca;Zilinsky,
Vysoka nad Uhom;Okres Michalovce;Kosicky,
Vysoka pri Morave;Okres Malacky;Bratislavsky,
Vysoka, okres Banska Stiavnica;Okres Banska Stiavnica;Banskobystricky
Vysoka, okres Sabinov;Okres Sabinov;Presovsky
Vysoke Tatry;Okres Poprad;Presovsky,
Vyskovce;Okres Stropkov;Presovsky,
